Car,"Honda Prelude""Slingshot""","This ad was produced by RPA. The commercial announcer saying ""Presenting The One hundred And ninety Horsepower Prelude VTEC"" Then the car going reverse and Suddenly the Prelude go forward like a slingshot fires Then The commercial announcer saying ""From Honda"" before ending with the Honda logo and the American Honda Motor Jingle."
Car,Jeep,"""Snow Covered"""
Car,Jeep Grand Cherokee,"""Driveaway"""
Car,"Nissan""Pigeons""","With homage to Top Gun, pigeons attempt to poop on a Nissan, but the car is too fast for them."
Car,"Pontiac""ACME Pontiac""","In a Wile E. Coyote and Road Runner cartoon, Wile E. Coyote uses a Widetrack Grand Prix to try and catch the Road Runner. Coyote is almost successful, until the cartoon ends before he can catch the Road Runner."
Car,"Ford""The One""",A Ford GT is shown driven a speed on a racetrack.
Car,"Ford""Gang""","A tough biker gang is going to the bar, only to be scared off by Fords."
Car,"Audi""The Godfather""","Spoofing The Godfather, the horse's head is replaced with the front of a Rolls-Royce."
Car,"Audi""The Chase""","Jason Statham is in a car chase, stealing different cars, ending up in different periods of time."
Car,"Hyundai Motor Company""Epic Lap""","A Hyundai Genesis Coupe, driven by Rhys Millen is shown powersliding around a racetrack."
Car,"Dodge Charger""Woman Are Shrill""","Men go over the rules of life which they hate. The final man thinks, ""And because I do this, I will drive the car I want to drive."" Narrated by Michael C. Hall."
Car,"Hyundai""Creation""",We see a Hyundai being made.
Car,"Hyundai""2020""","A parody of Brett Favre's anonymous retirement, showing him getting an MVP Award in 2020."
Car,"Kia Motors""How You Like Me Now""","A teddy bear, a sock monkey, a robot, Muno from Yo Gabba Gabba!, and another toy are all living their PG-13 dreams while driving a Kia Sorento."
Car,"Volkswagen""Punch Dub Days""","The first of their Punch Dub Days campaign features many people, including Stevie Wonder and Tracy Morgan, punching someone in the arm."
Car,"Audi""Old Luxury""",Two people escape from a fancy prison.Cameos: Kenny G
Car,"Chevrolet""Elderly Home""",People in an elderly home try to figure out a Chevy commercial.
Car,"Chevrolet""Miss Evelyn""",Two guys narrate their idea for a Chevy Camaro commercial.
Car,"Chrysler 200""Born of Fire""","A narrator talks about how Detroit has its history, but it should be respected like any other town. Rapper Eminem is driving through Detroit in his Chrysler, until he reaches the Fox Theatre. He concludes that, ""This is the Motor City, and this is what we do."" The song ""Lose Yourself"" by said artist is playing throughout the commercial. The commercial is two minutes long, and one of the longest commercials in Super Bowl history. The ad received critical acclaim."
Car,"Ford""Race""",Six people prepare to race in their Fords.
Car,"Volkswagen""Black Beetle""","A computer-generated black beetle runs fast, as it is referencing the new Volkswagen model."
Car,"Volkswagen""The Force""","A kid dressed as Darth Vader tries the Force on random objects, but fails. When his father comes home in his Volkswagen, the kid tries to use the Force to start the engine. He succeeds, or so he thinks. This was voted #9 on YouTube's Top 10 Videos of 2011."
Car,"Audi""Vampire Party""","A group of vampires are having a party in the woods. The vampire in charge of drinks (blood types) arrives in his Audi. The bright lights of the car kills all of the vampires, with him wondering where everyone went afterwards."
Car,"Chrysler""Halftime in America""",Clint Eastwood recounts how the automotive industry survived the Great Recession.
Car,"Fiat""Seduction""","A man walks through a street to discover a beautiful woman (Catrinel Menghia) standing on a parking space, who proceeds to approach and seduce him, when successfully doing so he then discoved he was about to kiss a Fiat 500 Abarth.Cast: Catrinel Menghia"
Car,"Hyundai""Cheetah""","Two men try to see which is faster: a cheetah or a Hyundai. Once the cheetah is released, it starts to instead chase after its cage handler."
Car,"Audi""Prom""",A guy getting ready for the prom. Drives his mom's Audi to the prom.
Car,Audi,"""Doberhuahua"""
Car,Kia K900,"""The Truth"""
Car,Volkswagen,"""Wings"""
Car,"BMW """"""Newfangled Idea""""""","No one knew how big the Internet would become, as shown in a 1994 clip of Today show hosts Katie Couric and Bryant Gumbel. 21 years later, the two are in an all-electric BMW i3, which is made in a wind-powered factory.[21]"
Car,"Chevrolet """"""Super Bowl Blackout""""""","The screen goes blank and then asks what if you lost TV service and your screen went black as the game started, and that its latest vehicle has Wi-Fi ability.[26]"
Car,"Dodge """"""Wisdom""""""","Centenarians give advice about life, as the car company celebrates its 100th anniversary.[21]"
Car,"Fiat """"""The Fiat Blue Pill""""""","A husband loses his blue pill, which bounces around town until it lands in a Fiat 500, making the car slightly bigger.[27]"
Car,"Jeep """"""Beautiful Lands""""""","Advertisement for the Jeep Renegade, done to the song ""This Land Is Your Land"", and applied to lands all over the world.[28]"
Car,"Lexus """"""Let's Play""""""","A miniature model of the Lexus RC 350 shows off some drift parking techniques, followed by a full-size model.[21]"
Car,"Kia Motors """"""The Perfect Getaway""""""","Pierce Brosnan is pitched a movie role where he drives a Kia Sorento up a snow-covered mountain road but instead of action-adventure mission with snipers, tanks, and explosions, he encounters animals and safe drive.[29]"
Car,"Mercedes-Benz """"""Fable""""""",A retelling of The Tortoise and the Hare where the tortoise drives a Mercedes-AMG GT.[30]
Car,"Nissan """"""With Dad""""""",A race car driver balances his work life and his family. First public appearance of Nissan GT-R LM Nismo.[31][32][33]
Car,"Toyota """"""How Great I Am""""""",Footage of Paralympian snowboarder and Dancing with the Stars competitor Amy Purdy juxtaposed with an audio promo by Muhammad Ali.[21]
Car,"Toyota """"""My Bold Dad""""""",The aspects of being a dad.[21]
Car,"Jeep """"""4x4ever""""""",[60][61]
Car,"Jeep """"""Portraits""""""","In honor of the brand's 75-year anniversary, a montage of portraits of famous Jeep owners and users is presented.[61]"
Car,"Hyundai Genesis """"""First Date""""""","A father (Kevin Hart) lets his son borrow his Hyundai Genesis for his first date, but follows him around using the vehicle's tracking system, culminating with him using an actual helicopter to track him.[62]"
Car,"Honda Ridgeline """"""A New Truck to Love""""""","A herd of sheep sing Queen's ""Somebody to Love"", while the truck bed audio system of the new Ridgeline is demonstrated.[62]"
Car,"Alfa Romeo """"""Dear Predictable""""""",[61][84]
Car,"Alfa Romeo """"""Mozzafiato""""""",[84]
Car,"Alfa Romeo """"""Riding Dragons""""""",[84]
Car,"Audi """"""Daughter""""""","A father (George Clooney) monologues as his daughter wins a soapbox derby race, wondering if he should tell her that about how ""that despite her education, her drive, her skills, her intelligence, she will automatically be valued as less than every man she meets?""[85]"
Car,Buick N/A,Cam Newton joins a peewee football team.[86]
Car,"Kia Niro """"""Hero's Journey""""""",Melissa McCarthy gets injured in various ways whilst trying to protest various environmental causes.[86][87][88]
Car,"Lexus LC """"""Man and Machine""""""","Freestyle dancer Lil Buck performs a routine to Sia's ""Move Your Body"" inspired by the ""human-like movement"" of the Lexus LC. The ad also launched the Lexus brand's new tagline, ""Experience Amazing"".[89][90]"
Car,"Ram Trucks """"""Built to Serve""""""",Martin Luther King Jr. speaks about the virtues of serving others.[112][121][122]
Car,"Ram 1500 """"""Icelandic Vikings""""""","Vikings drive a Dodge Ram and their boat into Minneapolis to the tune of Queen's ""We Will Rock You"", only to turn around when they find out their team is not playing.[112][123]"
Car,"Hyundai """"""Hope Detector""""""",Hyundai owners that attended the Super Bowl Experience are brought aside to meet cancer patients who were helped by Hyundai's donations to cancer research.[112]
Car,"Jeep Wrangler """"""Anti-Manifesto""""""","As a Wrangler drives through a river, a narrator explains that this particular commercial would not feature ""grandiose speeches and big declarations"", and would instead be an ""anti-manifesto"".[112][124]"
Car,"Jeep Wrangler Rubicon """"""Jeep Jurassic""""""",Jeff Goldblum re-lives driving in Jurassic Park[112][125]
Car,"Jeep Cherokee """"""The Road""""""",[112][126]
Car,"Kia Stinger """"""Feel Something Again""""""",An old Steven Tyler rewinds time by driving his Kia backwards on a race track. Features race car driver Emerson Fittipaldi[127][128][112]
Car,"Toyota """"""Good Odds""""""","Follows the odds of a paralympic skier of winning a gold medal, with the odds being reduced bit by bit as the woman grows and trains, and eventually reveals to be gold medalist Lauren Woolstencroft.[112][129][130]"
Car,"Toyota """"""Mobility Anthem""""""",The idea of mobility is portrayed as a broad concept unifies people of all ages and abilities.[131][112][132]
Car,"Toyota """"""One Team""""""","A priest, a rabbi, and an imam carpool to the game together.[112]"
Car,"Audi e-tron GT """"""Cashew""""""","A man encounters his grandfather at an isolated house in a field, where he shows him an Audi e-tron GT in his garage. Just as the man is about to drive it, it is revealed that this was only a dream, and that the man was actually at work choking on a cashew.[194]"
Car,"Hyundai Shopper Assurance """"""The Elevator""""""","Jason Bateman mans an elevator taking people to floors reflecting life experiences they don't always look forward to (such as a dentist appointment and a vegan dinner party). When a couple is sent to a floor for car shopping, Bateman is told that they were actually getting a Hyundai, and had used Shopper Assurance to pick a vehicle and schedule a test drive without haggling with a salesperson.[195][196]"
Car,"Kia Telluride """"""Give It Everything""""""","The city of West Point, Georgia is revitalized by the opening of a Kia factory there."
Car,"Mercedes-Benz A-Class """"""Say The Word""""""","A man uses his voice to control real life, just as he can control the entertainment system on his A-Class."
Car,"Toyota RAV4 Hybrid """"""Toni""""""","Jim Nantz narrates a story on challenging expectations, focusing on female football player Antoinette Harris.[197][198]"
Car,"Toyota Supra """"""Wizard""""""","To The Who's ""Pinball Wizard"", the Toyota Supra drives through a giant pinball machine."
Car,"Audi e-tron Sportback """"""Let it Go"""""" ""Maisie Williams is stuck in a traffic jam surrounded by old vehicles. Singing """"Let It Go""""",she passes by lowriders
Car,"Hyundai Sonata """"""Smaht Pahk"""""" ""John Krasinski demonstrates the new """"Remote Smart Parking Assist"""" feature of his Hyundai Sonata","which he refers to in a thick Boston accent as """"smaht pahk"""". The ad also features appearances by fellow Bostonians Rachel Dratch"
Car,"Genesis GV80 """"""Going Away Party"""""" ""Chrissy Teigen throws a """"going-away party"""" for """"old luxury""""","in favor of """"young luxury"""""
Car,"GMC Hummer EV """"""Quiet Revolution"""""" ""Several scenes teasing aspects of the electric truck are followed by similar scenes in absolute silence","concluding with LeBron James sinking a slam dunk that smashes the backboard glass.[223]"""
Car,"Jeep """"""Groundhog Day"""""" ""Groundhog Day commercial featuring Bill Murray as his character for the movie","meeting with Punxsutawney Phil again as he is currently in the time loop again; they enjoy 2/2/2020 with the Jeep Gladiator.[224]"""
Car,"Kia Seltos """"""Tough Never Quits"""""" ""Rookie Josh Jacobs returns to his hometown of Tulsa","Oklahoma offering advice and inspiration to his younger self to overcome the challenges he faced on his path to the NFL.[225]"""
Car,"Toyota Highlander """"""Heroes"""""" ""Driving a Toyota Highlander",Cobie Smulders saves the day in various movie tropes including a biological disaster
Car,"Porsche Taycan """"""The Heist"""""" ""Security professionals are alerted when the Porsche Taycan is stolen from an exhibit at the Porsche museum; in the ensuing chase numerous vehicles are used such as a 911 Carrera S","a 917 K and a 918 Spyder.[227]"""
Car / Film,Lexus LS 500 F Sport Black Panther,"""Long Live the King"""
Car accessories,WeatherTech,"""You Can't Do That"""
Car accessories,"WeatherTech """"""America At Work""""""",The American company makes car floor mats.[21][34]
Car accessories,"WeatherTech """"""Resources""""""",Highlights the manufacturing process and the employees who produce WeatherTech products.[63]
Car accessories,"WeatherTech """"""American Factory""""""",The building of a WeatherTech factory in the U.S. is shown.[112]
Cleaner,"Mr. Clean """"""Cleaner of Your Dreams""""""","A woman dances with Mr. Clean as they clean a house together, but she is actually daydreaming.[91]"
Cleaner,"Febreze """"""The Only Man Whose Bleep Doesn't Stink""""""",Dave's family and friends remark that Dave's Bleep doesn't stink.[115]
Clothing,"Lee""Inhale""",A man trying to suck in his stomach to button up his jeans ends up inhaling his pet canary.
Clothing,"Lee""The Date""","A young woman in her bedroom upstairs wearing a white leotard as a top sees her date (Alan Cumming) pulling up. She struggles to get into her jeans by hip rolling, and jumping up and down and trying to pull jeans up at same time. Date sees shadow of her hip rolling in window and gets excited. As she continues to struggle to get into her jeans she gets one foot tangled in cord of floor lamp then the other and falls into mannequin with mannequin landing on top of her and the lights going out. Date sees this and looks to him like she is fooling around with another guy."
Clothing,No Fear,"""Rodeo"""
Clothing,"Marmot """"""Love the Outside""""""","A camper hangs outdoors with a marmot, and is slapped in the face when he attempts to kiss it.[64]"
Computer,"RadioShack""Color Computer""",A commercial for the TRS-80 computer.
Computer,"Apple Inc.""1984""","In what some call the greatest Super Bowl commercial of all time, an Olympian runs to save a race of hypnotized humans from their computer overlord. Being chased by police, the Olympian throws a hammer at the screen overlord and a beacon of light shines, to the amazement of the followers. The caption reads, ""On January 24th, Apple Computer will introduce Macintosh. And you'll see why 1984 won't be like '1984.'"" This ad is based on the George Orwell book Nineteen-Eighty Four"
Computer,"Atari""Get Started""",
Computer,"Intel""Mystery""","In the Intel Lab where everyone wears radiation suits, the detective (in a suit) finds a processor missing. It's either Jimmy the Wire or Susie the Mouse. People voted in the internet poll ""Whodunit?"". At the fourth quarter, the suspect was announced."
Computer,"Apple Inc.""HAL""","In a parody of 2001: A Space Odyssey, HAL flirts with Dave. He says that a bug caused computers to misbehave in the year 2000, since they could not recognize the year 2000. They say that Macintosh can recognize the year, and then asks, ""You like your Macintosh better than me. Don't you, Dave?"""
Copy,"Xerox""Monks""","A monk must make 500 handwritten scriptures for his boss. He obviously goes to Xerox, and delivers the scriptures. The boss looks to the heavens and says, ""It's a miracle""."
Credit card,"American Express""The Race""",Paul Newman races a Top-Fuel Dragster on a Mini-Bike.
Credit card,"Visa""Elephant""","A little girl talks about how she would want a pet elephant. In sweet music, the girl talks about her adventures with the elephant. She instead gets a plush elephant with Visa Debit. The commercial ends with her dreaming of a pet zebra."
Credit card,"MasterCard""Toons""","Characters from the Hanna-Barbera cartoons are shown what it costs for contact lenses, a treadmill, a Wonderbra, and a face lift. Being happy with yourself is priceless."
Credit card,"Visa""Swimmers""","The announcer decide to take a break from commercialization and focuses on the 2000 Olympic Games with female swimmers swimming. They then spelled out ""VISA"", and the announcer ends their break, and says that Visa is the official card of the Olympic Games."
Credit card,"MasterCard""Errands""","Homer Simpson is doing some errands such as buying beer instead of diapers, an oil change, and a haircut. Homer seems to know of the narrator's existence, finally being fed up with him at Moe's Bar, muttering the words ""stupid voice-over guy""."
Credit card,MastercardIcons,Features classic advertisting mascots eating dinner.
Credit card,"Discover """"""Surprise""""""","A guy contacts his service representative when he learns that he can get his credit score, which is good because he does not like surprises. He then opens the door and sees a screaming goat in his apartment.[35]"
Drink,"Stella Artois and Water.org """"""Taps""""""","Matt Damon asks that if 1% of the people watching the ad buy the beer, the company will give clean water to one million people for five years.[118]"
Feminine care products,"Always """"""Like a Girl""""""","A new look at the phrase of doing things ""like a girl"".[21][36]"
Film,Independence Day,TV promo.
Film,Dante's Peak,TV promo.
Film,The Lost World: Jurassic Park,TV promo.
Film,The Saint,TV promo.
Film,Armageddon,TV promo.
Film,Lost in Space,TV promo.
Film,Mercury Rising,TV promo.
Film,Sphere,TV promo.
Film,The Mask of Zorro,TV promo.
Film,The Wedding Singer,TV promo.
Film,Austin Powers: The Spy Who Shagged Me,"In a TV promo, they announce that the new film to see this summer is the new Star Wars film. The second is the next Austin Powers film."
Film,The Corruptor,TV promo.
Film,Ed TVLife,Joint TV promo.
Film,8MM,Two TV promos.
Film,The Matrix,TV promo.
Film,"Mulan""Groundhog Day""","Advertising the release of the film on video on Groundhog Day, Mushu rises out of the hole instead of a groundhog, but he ultimately gets hit by a football."
Film,The Mummy,TV promo.
Film,October Sky,TV promo.
Film,True Crime,TV promo.
Film,Wild Wild West,TV promo.
Film,Gladiator,TV promo.
Film,Mission to Mars,TV promo.
Film,Titan A.E.,TV promo.
Film,A Knight's Tale,TV promo.
Film,Exit Wounds,TV promo.
Film,Hannibal,TV promo.
Film,Swordfish,TV promo.
Film,The Fast and the Furious,TV promo.
Film,The Mummy Returns,TV promo.
Film,Austin Powers in Goldmember,TV promo.
Film,Blade II,TV promo.
